height,midparents_height
61.2,69.668
60.1,69.668
74.0,69.81
69.5,69.81
69.0,69.81
68.0,69.81
68.0,69.81
68.0,69.81
65.5,69.81
65.0,69.81
60.0,70.08000000000001
68.0,69.56
65.0,69.56
64.0,69.56
62.0,69.56
71.0,69.56
70.0,69.56
70.0,69.56
70.0,69.56
69.5,69.56
68.5,69.56
69.0,69.56
65.0,69.56
64.0,69.56
70.0,69.398
67.0,69.398
65.5,69.398
63.7,69.398
63.2,69.398
62.5,69.398
62.2,69.398
61.0,69.398
72.5,69.27000000000001
69.0,69.27000000000001
67.0,69.27000000000001
64.5,69.27000000000001
64.0,69.27000000000001
71.0,69.28999999999999
67.5,69.28999999999999
67.5,69.28999999999999
63.5,69.28999999999999
68.0,69.02000000000001
67.0,69.02000000000001
63.7,69.02000000000001
62.0,69.02000000000001
70.0,69.02000000000001
66.5,69.02000000000001
62.0,69.02000000000001
61.0,69.02000000000001
72.0,68.73
70.0,68.73
69.5,68.73
69.5,68.73
68.0,68.73
65.0,68.73
64.0,68.73
63.0,68.73
70.7,69.00800000000001
69.7,69.00800000000001
69.2,69.00800000000001
65.2,69.00800000000001
64.0,69.00800000000001
63.5,69.00800000000001
63.2,69.00800000000001
72.0,68.73
72.0,68.73
60.0,68.73
71.2,67.94
67.0,67.94
67.0,67.4
64.5,67.4
65.0,67.4
63.0,67.4
65.0,67.4
65.0,67.4
71.5,66.59
64.5,66.59
63.0,66.59
72.0,66.32
66.0,66.32
66.0,66.32
65.0,66.32
63.0,66.32
75.0,71.49000000000001
71.0,71.49000000000001
70.0,71.49000000000001
66.0,71.49000000000001
66.0,71.49000000000001
65.5,71.49000000000001
65.0,71.49000000000001
65.0,71.49000000000001
64.0,71.49000000000001
64.0,71.49000000000001
64.0,70.68
73.0,70.14
72.0,70.14
71.7,70.14
71.5,70.14
65.5,70.14
65.0,70.14
62.7,70.14
62.5,70.14
71.2,70.14
71.0,70.14
70.0,70.14
75.0,70.518
74.0,70.518
72.0,70.518
68.5,70.518
67.0,70.518
66.0,70.518
70.0,70.14
68.5,70.14
68.0,70.14
65.0,70.14
63.0,70.14
62.5,70.14
73.0,70.41
71.0,70.41
70.5,70.41
70.5,70.41
61.0,70.41
70.5,70.66
67.5,70.66
64.5,70.66
64.0,70.66
71.0,70.41
68.5,70.41
67.5,70.41
66.0,70.41
63.0,70.41
63.0,70.41
71.0,70.39
71.0,70.39
70.5,70.39
70.5,70.39
66.5,70.39
65.5,70.39
64.5,70.39
73.0,70.14
72.0,70.14
69.0,70.14
69.0,70.14
66.5,70.14
65.5,70.14
65.5,70.14
65.0,70.14
64.0,70.14
70.0,69.6
68.5,69.6
67.0,69.6
65.0,69.6
64.0,69.6
63.5,69.6
61.0,69.6
69.7,69.58000000000001
68.0,69.58000000000001
60.0,69.58000000000001
65.2,69.58000000000001
64.5,69.58000000000001
63.7,69.58000000000001
60.0,69.58000000000001
71.7,69.16
66.5,69.16
65.0,69.16
63.5,69.16
69.0,68.52000000000001
67.5,68.52000000000001
63.5,68.52000000000001
72.0,68.52000000000001
73.0,68.52000000000001
70.0,68.52000000000001
70.0,68.52000000000001
64.0,68.52000000000001
66.0,68.52000000000001
62.0,68.52000000000001
70.5,68.78999999999999
67.0,68.78999999999999
66.0,68.78999999999999
65.0,68.78999999999999
63.0,68.78999999999999
62.0,68.78999999999999
61.0,68.78999999999999
70.5,68.78999999999999
63.7,68.78999999999999
63.0,68.78999999999999
62.5,68.33000000000001
73.0,68.23
72.0,68.23
69.0,68.23
73.0,67.98
71.0,67.98
71.0,67.98
69.0,67.98
63.0,67.98
71.0,68.25
70.0,68.25
70.0,68.25
69.0,68.25
63.5,68.25
62.5,68.25
62.5,68.25
62.0,68.25
72.0,67.98
68.0,67.98
66.0,67.98
66.0,67.98
70.0,67.69
69.5,67.69
69.0,67.69
63.0,67.69
62.0,67.69
68.0,67.44
68.0,67.44
67.5,67.44
64.0,67.44
63.0,67.44
63.0,67.44
63.5,67.44
62.0,67.44
62.0,67.44
70.5,66.9
68.0,66.9
62.5,66.9
69.0,66.9
66.0,66.9
61.7,66.9
60.5,66.9
69.5,67.17
71.0,72.42
61.7,72.42
73.0,70.43
71.0,70.43
67.0,70.43
70.0,70.16
69.0,70.16
69.0,70.16
68.7,70.16
68.5,70.16
68.5,70.16
68.0,70.16
68.0,70.16
68.0,70.16
63.2,70.16
67.5,69.1
66.0,69.1
66.0,69.37
64.0,69.37
71.7,69.37
71.5,69.37
70.7,69.37
65.5,69.37
66.5,69.37
65.2,69.37
61.5,69.37
72.0,69.1
72.0,69.1
68.0,69.1
66.0,69.1
69.2,69.35
68.0,69.35
66.0,69.35
66.0,69.35
62.0,69.35
61.5,69.35
61.0,69.35
60.0,69.35
71.0,68.56
68.0,68.56
68.0,68.56
67.0,68.56
65.0,68.56
64.0,68.56
63.0,68.56
63.0,68.56
62.0,68.56
61.0,68.56
66.0,68.56
63.0,68.56
65.5,68.56
62.0,68.56
71.2,68.56
71.2,68.56
69.0,68.56
68.5,68.56
62.5,68.56
62.0,68.83000000000001
69.0,68.56
67.0,68.56
66.0,68.56
66.0,68.56
66.0,68.56
65.0,68.56
65.0,68.56
65.0,68.56
64.0,68.56
63.0,68.56
70.5,68.02000000000001
70.0,68.02000000000001
68.0,68.02000000000001
66.0,68.02000000000001
66.0,68.02000000000001
66.0,68.02000000000001
62.0,68.02000000000001
61.5,68.02000000000001
73.5,68.53999999999999
70.0,68.53999999999999
69.5,68.53999999999999
65.5,68.53999999999999
67.0,68.02000000000001
70.0,68.02000000000001
68.0,68.02000000000001
64.5,68.02000000000001
64.0,68.02000000000001
71.0,68.02000000000001
68.0,68.02000000000001
66.0,68.02000000000001
65.5,68.02000000000001
65.0,68.02000000000001
63.0,68.02000000000001
62.0,68.02000000000001
62.0,68.02000000000001
67.0,68.02000000000001
67.0,68.02000000000001
66.0,68.02000000000001
64.0,68.02000000000001
63.5,68.02000000000001
61.0,68.02000000000001
68.2,68.53999999999999
70.0,68.02000000000001
70.0,68.39
69.0,68.39
67.0,68.39
65.5,68.39
64.5,68.39
68.5,67.75
67.7,67.83000000000001
61.7,67.83000000000001
66.5,67.75
68.5,66.94
68.0,66.94
64.0,66.94
63.5,66.94
63.0,66.94
66.7,66.50800000000001
64.0,66.4
61.0,66.4
61.0,66.4
60.0,66.4
60.0,66.4
60.0,66.4
56.0,66.4
67.5,66.4
67.0,66.4
66.5,66.4
60.0,66.4
69.0,66.11
68.0,65.86
65.0,65.86
64.7,65.86
64.0,65.86
64.0,65.86
63.0,65.86
65.0,65.86
65.0,65.86
62.0,65.86
61.0,65.86
72.7,69.248
72.7,69.248
71.5,69.248
65.5,69.248
63.5,69.248
71.0,69.41
69.7,68.6
67.5,68.6
65.5,68.6
65.0,68.6
64.5,68.6
63.5,68.6
70.0,68.87
69.0,68.87
65.5,68.87
65.5,68.87
63.0,68.87
70.0,68.87
67.7,68.87
63.0,68.87
60.0,68.87
65.0,68.6
62.0,68.6
62.0,68.6
71.0,68.85
69.0,68.85
64.0,68.85
64.0,68.85
63.0,68.85
63.0,68.85
63.0,68.85
63.0,68.85
63.0,68.85
62.5,68.85
62.0,68.85
71.5,68.06
70.0,68.06
67.0,68.06
67.0,68.06
71.0,67.78999999999999
70.2,67.78999999999999
69.2,67.78999999999999
68.5,67.78999999999999
68.0,67.78999999999999
67.0,67.78999999999999
65.5,67.78999999999999
63.5,67.78999999999999
69.0,67.52000000000001
68.0,67.52000000000001
63.0,67.52000000000001
70.0,67.23
69.5,67.23
69.0,67.23
68.5,67.23
66.0,67.23
67.0,66.44
70.5,69.18
70.5,69.18
67.0,69.18
66.0,69.18
66.0,69.18
62.0,69.18
62.0,69.18
61.5,69.18
72.0,69.18
65.0,69.18
65.0,69.18
67.0,69.18
64.0,69.18
64.0,69.18
62.0,69.18
60.0,69.18
60.0,69.18
66.0,68.64
65.0,68.64
67.0,68.64
66.5,68.64
65.5,68.64
72.0,68.64
68.0,68.64
66.0,68.64
65.0,68.64
62.0,68.64
61.0,68.64
68.7,68.35
68.5,68.35
66.5,68.35
64.5,68.35
62.5,68.35
60.5,68.35
60.5,68.35
57.5,68.35
72.0,68.37
71.0,68.37
67.0,68.37
66.0,68.37
65.0,68.37
70.0,67.02000000000001
64.5,67.28999999999999
62.0,67.28999999999999
67.2,67.27000000000001
67.0,67.27000000000001
65.0,67.27000000000001
65.0,67.27000000000001
65.0,67.27000000000001
63.0,67.27000000000001
70.0,67.0
68.0,67.0
63.5,67.0
62.5,67.0
62.5,67.0
62.5,67.0
62.5,67.0
70.0,66.21000000000001
68.0,65.4
67.0,65.4
65.0,65.4
60.0,65.4
65.0,65.4
68.0,64.86
67.0,64.86
66.5,64.86
66.0,64.86
65.7,64.86
65.5,64.86
65.0,64.86
65.0,64.86
64.0,64.86
63.0,64.86
62.0,64.86
61.0,64.86
60.0,64.86
58.0,64.86
57.0,64.86
66.5,68.68
66.0,68.68
66.0,68.68
65.0,68.68
63.0,68.68
63.0,68.14
63.0,68.14
63.0,68.14
60.0,68.14
69.0,67.6
68.0,67.6
68.0,67.6
65.0,67.6
65.0,67.6
62.0,67.6
62.0,67.6
61.0,67.6
59.0,67.6
70.7,67.87
65.5,67.87
69.2,67.6
69.0,67.6
68.0,67.6
67.7,67.6
64.5,67.6
60.5,67.6
67.0,67.06
67.0,67.06
64.0,67.06
64.0,67.06
62.5,67.06
60.5,67.06
70.0,66.52000000000001
63.0,66.52000000000001
66.0,66.52000000000001
66.0,66.52000000000001
63.0,66.52000000000001
71.0,66.77000000000001
71.0,66.77000000000001
69.0,66.77000000000001
63.5,66.77000000000001
68.0,65.15
68.0,65.15
67.0,65.15
67.0,65.15
62.0,65.15
71.5,66.56
68.0,66.56
65.5,66.56
64.0,66.56
62.0,66.56
62.0,66.56
61.0,66.56
70.5,66.56
68.0,66.56
67.0,66.56
65.0,66.56
64.0,66.56
64.0,66.56
60.0,66.56
64.5,66.02000000000001
66.0,64.4
60.0,64.4
64.0,66.64
62.0,66.64
61.0,66.64
66.5,65.27000000000001
57.0,65.27000000000001
72.0,69.35
70.5,69.35
68.7,69.35
68.5,69.35
67.7,69.35
64.0,69.35
63.5,69.35
63.0,69.35
